City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
44,Upernavik,GL,72.7868,-56.1549,21.63,76,100,5.55,overcast clouds
45,Puno,PE,-15.8333,-70.0333,47.3,51,97,2.37,overcast clouds
46,Padang,ID,-0.9492,100.3543,82.45,85,100,5.77,overcast clouds
47,Tucuman,AR,-26.8241,-65.2226,68.02,53,0,4.74,clear sky
48,Jamestown,US,42.097,-79.2353,44.24,74,0,6.91,clear sky
49,Itarema,BR,-2.9248,-39.9167,77.4,80,92,14.7,overcast clouds
50,Manicore,BR,-5.8092,-61.3003,70.86,98,93,1.19,overcast clouds
51,Bonavista,CA,48.6499,-53.1147,45.88,68,8,13.6,clear sky
52,Port Alfred,ZA,-33.5906,26.891,58.17,84,80,4.0,broken clouds
53,Muchkapskiy,RU,51.8513,42.4717,49.46,78,70,8.46,broken clouds
54,Ancud,CL,-41.8697,-73.8203,49.44,95,100,13.27,light rain
55,Albany,US,42.6001,-73.9662,48.45,79,100,4.14,overcast clouds
56,Barra Do Garcas,BR,-15.89,-52.2567,75.88,70,9,1.79,clear sky
57,Vaini,TO,-21.2,-175.2,80.76,74,75,12.66,broken clouds
58,Hermanus,ZA,-34.4187,19.2345,54.81,67,69,5.64,broken clouds
59,Lar,IN,26.2039,83.9717,76.78,89,100,13.15,overcast clouds
60,Ponta Do Sol,PT,32.6667,-17.1,70.0,64,42,3.04,scattered clouds
61,Samarai,PG,-10.6167,150.6667,81.64,81,86,14.5,overcast clouds
62,Bathsheba,BB,13.2167,-59.5167,81.21,83,20,17.27,few clouds
63,Zhigansk,RU,66.7697,123.3711,29.84,75,99,12.17,overcast clouds
64,Mandan,US,46.8267,-100.8896,57.96,90,75,8.05,mist
65,Burns Lake,CA,54.2331,-125.7533,51.22,74,88,2.75,overcast clouds
66,Port Hedland,AU,-20.3167,118.5667,82.45,57,0,12.66,clear sky
67,Ponta Delgada,PT,37.7333,-25.6667,73.51,88,75,9.22,broken clouds
68,Tuktoyaktuk,CA,69.4541,-133.0374,25.03,85,8,14.81,clear sky
69,Sur,OM,22.5667,59.5289,81.25,63,0,5.23,clear sky
70,New Norfolk,AU,-42.7826,147.0587,54.91,55,93,3.0,overcast clouds
71,Akyab,MM,20.15,92.9,84.49,69,80,4.54,broken clouds
72,Winder,US,33.9926,-83.7202,65.41,79,100,0.0,overcast clouds
73,Kruisfontein,ZA,-34.0033,24.7314,54.88,79,61,9.17,broken clouds
74,Thanh Hoa,VN,19.8,105.7667,83.82,75,32,5.46,scattered clouds
75,Punta Arenas,CL,-53.15,-70.9167,42.91,81,75,6.91,broken clouds
76,Tuatapere,NZ,-46.1333,167.6833,43.61,95,100,10.56,light rain
77,Alofi,NU,-19.0595,-169.9187,76.95,84,19,17.56,light rain
78,Shangzhi,CN,45.2167,127.9667,44.82,33,54,14.0,broken clouds
79,Narsaq,GL,60.9167,-46.05,34.02,51,0,6.22,clear sky
80,Hasaki,JP,35.7333,140.8333,88.29,68,51,23.58,broken clouds
81,Momostenango,GT,15.0436,-91.4086,57.9,90,84,2.3,broken clouds
82,Bluff,NZ,-46.6,168.3333,44.24,86,100,19.69,light rain
83,Selikhino,RU,50.3672,137.4996,36.82,84,99,11.92,overcast clouds
84,Ryotsu,JP,38.0833,138.4333,77.97,66,100,17.52,overcast clouds
85,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,57.94,50,0,6.85,clear sky
86,Ishigaki,JP,24.3448,124.1572,81.86,73,14,6.62,few clouds
87,Kaeo,NZ,-35.1,173.7833,66.33,71,76,6.8,broken clouds
88,Bontang,ID,0.1333,117.5,84.47,68,97,5.5,overcast clouds
89,Kaya,BF,13.0917,-1.0844,79.57,68,3,11.83,clear sky
90,Arraial Do Cabo,BR,-22.9661,-42.0278,67.62,86,100,3.2,overcast clouds
91,Leningradskiy,RU,69.3833,178.4167,31.17,89,100,4.12,light snow
92,Longyearbyen,SJ,78.2186,15.6401,36.82,92,100,3.76,overcast clouds
93,Talnakh,RU,69.4865,88.3972,33.21,93,100,22.55,light snow
94,Mahebourg,MU,-20.4081,57.7,74.25,73,40,12.66,scattered clouds
95,Jati,PK,24.3539,68.2671,83.35,60,1,7.14,clear sky
96,Khed,IN,17.7167,73.3833,78.48,88,98,2.48,overcast clouds
97,Inhambane,MZ,-23.865,35.3833,75.18,88,40,6.91,scattered clouds
98,Grindavik,IS,63.8424,-22.4338,48.67,81,100,14.97,overcast clouds
99,Camopi,GF,3.1655,-52.3158,71.8,96,75,1.79,broken clouds
100,Salalah,OM,17.0151,54.0924,78.89,78,75,2.3,broken clouds
101,Dunedin,NZ,-45.8742,170.5036,49.66,80,98,15.08,overcast clouds
102,Huarmey,PE,-10.0681,-78.1522,62.08,86,41,9.13,scattered clouds
103,Iqaluit,CA,63.7506,-68.5145,36.7,93,100,11.99,overcast clouds
104,Oyama,JP,36.3,139.8,85.59,40,94,7.58,overcast clouds
105,Havoysund,NO,70.9963,24.6622,43.03,72,70,8.37,broken clouds
106,Tilichiki,RU,60.4667,166.1,37.45,79,100,4.72,overcast clouds
107,Bengkulu,ID,-3.8004,102.2655,82.35,72,100,6.51,overcast clouds
108,Cape Town,ZA,-33.9258,18.4232,61.38,84,85,1.01,overcast clouds
109,Cidreira,BR,-30.1811,-50.2056,52.63,81,8,5.86,clear sky
110,Hofn,IS,64.2539,-15.2082,47.88,84,100,23.06,overcast clouds
111,Dwarka,IN,22.2394,68.9678,82.2,66,31,3.71,scattered clouds
112,Belaya Gora,RU,68.5333,146.4167,27.45,71,98,5.17,overcast clouds
113,San Vicente,AR,-26.6167,-54.1333,49.64,87,0,3.38,clear sky
114,Visnes,NO,59.3556,5.2242,55.45,82,75,14.97,broken clouds
115,East London,ZA,-33.0153,27.9116,62.06,70,100,14.18,overcast clouds
116,Adrar,MR,20.5022,-10.0711,87.69,31,60,10.36,broken clouds
117,Baljevac,BA,44.8206,15.7799,46.24,88,1,3.67,clear sky
118,Zyryanka,RU,65.75,150.85,28.49,69,100,9.53,overcast clouds
119,Cabedelo,BR,-6.9811,-34.8339,72.27,78,80,10.18,broken clouds
120,Bakchar,RU,57.0186,82.0711,40.12,52,51,5.73,broken clouds
121,Kampot,KH,10.6167,104.1833,86.05,68,88,7.7,overcast clouds
122,Georgetown,MY,5.4112,100.3354,85.95,70,20,3.44,few clouds
123,Bunia,CD,1.5667,30.25,60.44,95,100,2.57,light rain
124,Rocha,UY,-34.4833,-54.3333,46.0,88,41,2.91,scattered clouds
125,Zeya,RU,53.75,127.2667,38.82,29,58,12.1,broken clouds
126,Shepetivka,UA,50.1855,27.0637,45.27,85,100,17.36,overcast clouds
127,Chuy,UY,-33.6971,-53.4616,54.72,62,93,7.99,overcast clouds
128,Barrow,US,71.2906,-156.7887,23.02,93,100,10.36,overcast clouds
129,Kieta,PG,-6.2167,155.6333,83.55,75,99,6.53,light rain
